Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1997;16.8;27.5;40;45.9;55.8;72.1;75.5;72.1;66.4;53.7;34.5;28.8;49.1
1998;25.9;36.2;33.6;50.8;66.5;68.1;75.4;75.2;70.4;54;42.4;30.3;52.4
1999;20.2;35.2;38.7;51.3;61.3;70.7;79.7;72.3;62.9;53.6;47.4;29.9;51.9
2000;25.4;36.5;45.1;52;64.8;69.3;73.7;75.5;67.2;57.7;33.8;11.6;51.1
2001;23.6;20.3;32.2;56.2;61.7;70.6;77.9;75.2;63.5;52.1;49.7;32.4;51.3
2002;31;32;34.4;50.6;59.3;74.5;78.1;72.7;68.1;47.3;36.1;31.4;51.3
2003;21.1;21.8;37.5;52.7;61.2;70.8;76.6;77.7;63.4;55;37.9;30.8;50.5
2004;19.8;25.3;42.4;53.8;63.6;68.8;72.3;68.8;68.4;53.5;42.3;29.5;50.7
2005;21.5;33.2;39.6;56;60.2;74.5;77.6;75.4;70.1;54.7;42.1;23.5;52.4
2006;35.6;27.7;39.4;56.6;63.4;73.5;79.1;74.6;62.8;50.2;42;34.7;53.3
2007;23.6;18.7;45.2;49;66.3;72.7;76.8;77.3;66.7;57.2;38.9;23.4;51.3
2008;19.4;19.7;35.6;47.9;60.4;71.4;75.4;72.6;65.4;53.9;39;21.4;48.5
2009;17.8;29.9;41.4;50.9;62.8;72.5;72;72.5;67.2;47.7;46.9;22.7;50.4
2010;16.7;20;41.8;58.7;62.9;74.1;78.2;78;66.6;57.6;40.9;23.5;51.6
2011;18.5;26.7;39.3;51.7;62.9;72.7;81.6;76.3;64.1;56.5;42.6;32.9;52.2
2012;30.5;32.5;55.7;56.1;68.5;75.7;84.3;75.5;66.5;52.7;43.5;30.8;56
2013;26.3;28.5;33.4;48.6;62;72.6;76;77.4;71.4;54;37.6;21.1;50.7
2014;18;18.3;34.6;51.4;64.1;73.2;72.8;75.4;65.7;55;33.6;31.8;49.5
2015;26.4;17.9;43;55.1;63.8;73.1;76.1;73.1;71.9;56.4;45.7;36.2;53.2
2016;23.8;32;46.7;54.2;63;77.3;76.8;76;71.4;59.7;48.9;27.4;54.8
2017;27.9;39.2;41.6;55.4;62.9;74.9;79.7;72.2;70.8;55.7;40.3;26.8;53.9
2018;22.7;25;38.5;44.4;71;76.1;76.7;75.4;67.5;50.6;32.3;30.9;50.9
2019;20.8;18.3;34.4;52.6;59.5;72;77.6;73.2;71.6;48.3;35.2;32.3;49.7
2020;24.9;27.8;43.9;50;60.1;75.1;78.4;75;64.3;48.5;44;29.3;51.8
2021;26.4;15.2;44.9;52.8;60.8;76;76.4;76.4;70.4;57.1;41.8;34.8;52.7
2022;18.1;24.2;39;47.1;63.8;74.4;77.3;76.1;67.8;53.5;39;24.4;50.4
2023;26.2;30.8;37.6;52.4;65.9;73.7;75.6;75.9;70.5;55.5;43.1;37.4;53.7
2024;22.2;40;44.9;55.3;65.6;75.7;75.6;75;70.9;60;42.5;30.8;54.9
2025;21.7;23.5;46;53.4;61.5;74.6;77.1;73.7;69.8;59;41.3;27.4;52.4
