Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1996;25.1;31.2;35.5;49.3;61.9;72.1;73.1;74.9;65.5;55.3;37.2;34.4;51.3
1997;24.3;35.9;42.9;48.3;56.7;69.6;75.3;71.6;66.1;54.6;39;33.4;51.5
1998;36.6;40.8;42;53.2;67;71.4;74.9;75.3;71.4;57;45.5;36.5;56
1999;28.4;37.4;38.4;54.9;64.3;73.7;79.2;72.3;67.1;55.2;48.8;34.6;54.5
2000;27.9;38.7;47;51.4;64.9;71;73;73.6;65.2;57.7;40.6;19.7;52.6
2001;28;34.6;38.4;58.5;64.4;70.2;74.4;75.4;65.1;54.3;49.5;38.1;54.2
2002;35.1;35.6;40.1;54.8;59.7;73.8;78.3;77.4;71.3;53.3;40.3;33;54.4
2003;21.6;25.4;43.3;54.6;61;68.2;74;74.9;64.6;54.4;47.2;34.4;52
2004;25.2;32.1;45.4;54.9;66.9;70.9;73;69.8;69;55.9;46.8;31.8;53.5
2005;30.7;36.3;38.3;55;60.1;74.8;76.4;76.6;70.5;56.3;44.5;27.1;53.9
2006;39.7;32.3;41.7;57.1;61.3;70.4;76.6;75;64.1;52;45.5;38.7;54.5
2007;32.5;19.7;49;50.8;68.1;74.2;74.3;79.9;71.7;62.1;43.4;34.1;55
2008;28.6;29.8;40.4;53.8;59.8;73.2;75;73.8;70.1;56;41.6;30.7;52.7
2009;23;33.9;47.2;53.9;63.6;73.4;70.9;73;68.5;51.6;47.4;31.1;53.1
2010;24.6;26;45.9;59.6;66;76;78.7;79.5;70.5;58.1;44.8;25.4;54.6
2011;23.8;33.4;43.6;55.8;63.8;73.7;82;76.9;66;55.7;48.7;37.8;55.1
2012;33.7;37.3;56.6;54.5;68.8;74.6;84;74.9;65.2;52.7;41.4;38.4;56.8
2013;29.9;30.9;35.5;52.5;65.4;72;73.9;74.9;69.5;54.6;39.2;29.9;52.4
2014;20.1;22.3;35.7;53;63.1;72.7;70.1;73.8;65.4;54.2;35.9;33.3;50
2015;25.3;20.2;39.2;54.5;66.8;72.6;74.6;72.9;70.5;57;48;42.6;53.7
2016;28.9;34.8;49.2;53.7;62.3;74.5;76.5;78.2;71.3;60.7;48.1;30.3;55.7
2017;34.9;43.3;43.8;59.3;62.3;72.1;76.2;73;69.8;58.2;43.9;30.2;55.6
2018;25.1;37.7;38.9;47.1;72.6;75.5;77;75.9;71.3;55.9;37.8;36.5;54.3
2019;27.4;33.8;38.2;54.1;64.2;71.2;78.2;74.7;73.7;56.5;37.7;37;53.9
2020;35;33.3;46.2;50.8;60.7;73.7;78.4;74.1;67.8;54.7;48.2;34.7;54.8
2021;31;25.9;46.9;53.2;60.9;74.1;74.9;77.5;70.2;60.9;40.5;42.1;54.8
2022;25.5;30.8;45.5;51.5;66.1;74.4;78;75;68.1;54.5;44.4;33.4;53.9
2023;37.1;40.2;42.2;54.2;64.5;71.5;76;74.5;69.9;57.5;45.2;40.8;56.1
2024;29;41.2;48.2;56.1;68.3;74.2;75.4;75.3;70.9;60;47.9;36.1;56.9
2025;24.4;31.9;48.5;54.9;62.4;75.1;79.5;73.8;70.5;59.2;44;32.1;54.7
