Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1997;26.7;38.1;47.6;50.9;61.6;73.6;80.1;76;70.2;59.1;42;35;55.1
1998;36.4;42.6;43.2;55.3;71.2;75.5;78.9;79.1;75;60.2;49.5;37.2;58.7
1999;31.3;42.5;42.8;58.6;66.8;74.9;82.9;76.5;69.7;58.7;52.6;38.2;58
2000;33;42.9;49.1;55.2;68.9;72.9;77.6;80.3;69.6;61.3;41.3;21.6;56.1
2001;30.5;35.1;41.5;63.1;68.6;74.1;80.6;79.6;68.7;57.7;53.1;39.9;57.7
2002;38.1;39.3;42.7;59.4;63.5;78;82.8;80;73.3;55.3;44.1;37.4;57.8
2003;28.1;31.3;47.5;58.1;65;71.3;79.9;80.8;67.7;60;49.3;38.6;56.5
2004;30.9;35.8;49.8;59.3;70.8;74.4;77.9;73.6;71.5;60.2;49.3;36.9;57.5
2005;33.8;40.4;43.9;59;66.5;78.8;80;80;73.8;58.7;48.6;32;58
2006;42.3;35.3;46.5;62.1;66.2;76.1;82.6;80;67.5;55.2;46.9;40.6;58.4
2007;34;29.3;53.6;53.9;70.9;76.4;78.4;84.4;74;63.1;46.5;35.5;58.3
2008;33;32.3;43.9;54.2;63.1;76.8;79.3;76.7;70.2;58.3;44.7;32.5;55.4
2009;28.9;39;49.2;56;66.9;77.7;75.6;76.4;69.8;53.7;51.8;33.7;56.6
2010;27.2;30.5;48.9;64;68;80.5;82.4;82.2;71.3;61.8;48.8;30.3;58
2011;27.7;36.6;47.2;60.5;66.4;78.4;85.7;81.6;67.7;60.5;50.9;40.8;58.7
2012;38.1;41.4;61.1;60.2;73.2;78.2;88;79.6;69.4;56.8;46;41.7;61.1
2013;35.7;35.7;40.5;55.4;67.2;75.9;77.9;78.7;73.9;59.1;43.9;33.4;56.4
2014;27.5;27.4;42.4;58.6;69.4;78;76.4;80.3;70;59.5;40.7;38.9;55.8
2015;33.2;26.7;46.4;60.3;69.6;77.6;80.5;77.8;75.1;61.1;51.7;45.4;58.8
2016;33.8;40.2;53;59.9;66.4;81.3;81.5;80.7;75.4;65.5;52.2;34.7;60.4
2017;37.9;47.7;49.9;62.3;68.7;78.4;84.3;75.7;73.2;61.6;48.1;34.8;60.2
2018;29.6;38;43.1;49.9;75.4;80.3;80.3;79.7;74.8;59.5;38.8;39;57.4
2019;30.7;34.8;42.6;58.5;67.8;75.2;81.3;78.3;77.9;57.3;41.8;39.7;57.2
2020;35.7;37.2;50.7;54.7;64.8;78.6;82.2;77.5;70.9;56.5;51.2;38.1;58.2
2021;34.9;26.4;52.1;57.1;65.3;78.9;79.6;81.1;74.9;63.9;46.7;47;59
2022;29.3;34.5;49.2;56.5;69.2;79.3;82.8;79.7;71.4;58.7;47.3;35.9;57.8
2023;39.4;43.1;45.9;58.5;69.8;77.2;81.5;79.5;74.2;61.2;49.6;45;60.4
2024;31.9;46.8;53.8;61;71.9;80.4;79.7;79.6;73.5;63.5;51.1;40.7;61.2
2025;29;34.8;54;59.6;66.4;78.4;82.3;77.7;73.6;63.4;48;36.1;58.6
